# Vietnam Coral Radiocarbon Data from 1571-1950 CE
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/27650
#      Description: NOAA Landing Page
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/south_china_sea/goodkin2019/goodkin2019-radiocarb.txt
#      Description: NOAA location of the template
#
# Data_Type: Corals and Sclerosponges
#
# Dataset_DOI:
#
# Parameter_Keywords: carbon isotopes
#---------------------------------------
# Contribution_Date
#    Date: 2019-09-17
#---------------------------------------
# File_Last_Modified_Date
#    Date: 2019-09-17
#---------------------------------------
# Title
#    Study_Name: Vietnam Coral Radiocarbon Data from 1571-1950 CE
#---------------------------------------
# Investigators
#      Investigators: Goodkin, N.F.; Bolton, A.; Hughen, K.A.; Karnauskas, K.B.; Griffin, S.; Phan, K.H.; Vo, S.T.; Ong, M.R.; Druffel, E.R.M.
#---------------------------------------
# Description_Notes_and_Keywords
#        Description: 
#         Provided Keywords: coral, radiocarbon, ocean circulation
#---------------------------------------
# Publication
# Authors: Goodkin, N.F., Bolton, A., Hughen, K.A., Karnauskas, K.B., Griffin, S., Phan, K.H., Vo, S.T., Ong, M.R., and Druffel, E.R.M.
# Published_Date_or_Year: 2019
# Published_Title: East Asian Monsoon Variability Since the Sixteenth Century
# Journal_Name: Geophysical Research Letters
# Volume: 46
# Edition: 
# Issue: 
# Pages: 4790-4798
# Report_Number: 
# DOI: 10.1029/2019GL081939
# Online_Resource: 
# Full_Citation: 
# Abstract: The East Asian Monsoon (EAM) impacts storms, freshwater availability, wind energy production, coal consumption, and subsequent air quality for billions of people across Asia. Despite its importance, the EAM's long-term behavior is poorly understood. Here we present an annually resolved record of EAM variance from 1584 to 1950 based on radiocarbon content in a coral from the coast of Vietnam. The coral record reveals previously undocumented centennial scale changes in EAM variance during both the summer and winter seasons, with an overall decline from 1600 to the present. Such longterm variations in monsoon variance appear to reflect independent seasonal mechanisms that are a combination of changes in continental temperature, the strength of the Siberian High, and El Niño Southern Oscillation behavior. We conclude that the EAM is an important conduit for propagating climate signals from the tropics to higher latitudes.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: National Research Foundation, Singapore
#    Grant: 
#---------------------------------------
# Site_Information
# Site_Name: Hon Tre, Vietnam
# Location: Vietnam
# Country: Vietnam
# Northernmost_Latitude: 12.213861
# Southernmost_Latitude: 12.213861
# Easternmost_Longitude: 109.304864
# Westernmost_Longitude: 109.304864
# Elevation: 
#---------------------------------------
# Data_Collection
#   Collection_Name: Tho Nhat D14C Goodkin2019
#   First_Year: 379
#   Last_Year: 0
#   Time_Unit: AD
#   Core_Length: 4.8
#   Notes: 
#---------------------------------------
# Chronology_Information 
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_AD	age,,,year Common Era,,corals and sclerosponges,,,N,
## d14-C-annual	Delta 14C,Porites sp.,,per mil,annual,corals and sclerosponges,,accelerator mass spectrometry,N,
## d14-C-ocean	Delta 14C,Porites sp.,,per mil,annual,corals and sclerosponges,anomalized,accelerator mass spectrometry,N,Anomaly from 100 year smooth
## summer_monsoon_index	Delta 14C,Porites sp.,,per mil,Jul-Sep,corals and sclerosponges,detrended;filtered,accelerator mass spectrometry,N,annual coral Delta 14C detrended by the coral 100-year smooth and filtered to frequencies of correlation to East Asian Summer monsoon wind stress (4.2-5 years); Cross Spectral Analysis to identify seasonal frequency, then band-pass filtered
## winter_monsoon_index	Delta 14C,Porites sp.,,per mil,Dec-Mar,corals and sclerosponges,detrended;filtered,accelerator mass spectrometry,N,annual coral Delta 14C detrended by the coral 100-year smooth and filtered to frequencies of correlation to East Asian Winter Monsoon frequencies (2.3-2.5 years and 8-80 years); Cross Spectral Analysis to identify seasonal frequency, then band-pass filtered
#------------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values: NA
age_AD	d14-C-annual	d14-C-ocean	summer_monsoon_index	winter_monsoon_index	
1950	-55.7	2.757	0.630732	-0.03512	
1949	-60.49	-2.266	-0.2706	-0.9734	
1948	-59.67	-1.675	-0.77776	-1.17963	
1947	-60.46	-2.691	-0.0076	-0.78651	
1946	-58.34	-0.793	0.811628	-0.91831	
1945	-56.43	0.899	0.316897	0.562972	
1944	-57.02	0.094	-0.71353	0.620422	
1943	-54.1	2.803	-0.60301	1.299887	
1942	-53.58	3.117	0.477508	1.31409	
1941	-58.68	-2.186	0.790143	0.400796	
1940	-55.56	0.736	-0.14848	0.455815	
1939	-57.65	-1.548	-0.83005	-0.78112	
1938	-57.73	-1.817	-0.20987	-0.72484	
1937	-53.81	1.917	0.692738	-0.96417	
1936	-57.2	-1.655	0.499708	-1.14957	
1935	-56.49	-1.123	-0.41208	-0.38832	
1934	-56.58	-1.388	-0.64624	-0.5877	
1933	-54.36	0.661	0.055773	0.230277	
1932	-53.54	1.314	0.597695	0.390701	
1931	-52.32	2.371	0.263323	0.461839	
1930	-55.42	-0.889	-0.37693	0.91678	
1929	-54.1	0.274	-0.45204	0.482475	
1928	-53.38	0.841	0.051836	0.804273	
1927	-52.77	1.301	0.443853	0.555548	
1926	-52.85	1.075	0.257611	0.277734	
1925	-52.54	1.244	-0.25363	0.350454	
1924	-54.03	-0.384	-0.4497	-0.33474	
1923	-54.15	-0.637	-0.0534	-0.13627	
1922	-53.1	0.283	0.451293	-0.34069	
1921	-53.28	-0.023	0.357965	-0.16409	
1920	-52.07	1.064	-0.27222	0.491742	
1919	-53.76	-0.745	-0.55945	0.440785	
1918	-51.33	1.569	-0.02827	1.19504	
1917	-49.92	2.866	0.585401	0.814669	
1916	-52.01	0.666	0.339817	0.753239	
1915	-53	-0.431	-0.44253	0.399411	
1914	-54.04	-1.573	-0.57246	-0.44465	
1913	-52.67	-0.298	0.179739	-0.35575	
1912	-52.76	-0.477	0.661377	-1.26544	
1911	-53.14	-0.941	0.110342	-0.9035	
1910	-53.53	-1.41	-0.61185	-1.16595	
1909	-53.22	-1.175	-0.35842	-0.97252	
1908	-54.21	-2.236	0.458455	-0.30679	
1907	-51.88	0.025	0.515193	-0.49124	
1906	-49.55	2.289	-0.268	0.568998	
1905	-52.66	-0.887	-0.58826	0.162882	
1904	-51.99	-0.281	0.079625	0.694498	
1903	-51.12	0.524	0.597387	0.524256	
1902	-51.21	0.374	0.081532	0.07588	
1901	-51.7	-0.167	-0.58018	0.342248	
1900	-51.33	0.158	-0.23234	-0.7221	
1899	-50.96	0.49	0.54081	-0.26124	
1898	-53.36	-1.944	0.383561	-0.91117	
1897	-52.44	-1.054	-0.47427	-0.49768	
1896	-50.82	0.538	-0.54887	-0.01126	
1895	-52.32	-0.989	0.346445	0.10218	
1894	-47.87	3.434	0.701773	1.187347	
1893	-49.67	1.605	-0.14445	0.738799	
1892	-52.02	-0.776	-0.80839	1.332056	
1891	-49.14	2.068	-0.13562	0.574624	
1890	-49.83	1.345	0.812669	0.349616	
1889	-51.02	0.131	0.451108	0.042333	
1888	-53.93	-2.797	-0.68728	-0.54426	
1887	-50.19	0.93	-0.74982	0.008436	
1886	-50.58	0.532	0.419266	-0.54969	
1885	-50.67	0.435	0.956068	0.379988	
1884	-51.66	-0.562	-0.04609	0.023776	
1883	-48.82	2.271	-1.02025	0.493563	
1882	-53.04	-1.96	-0.38002	0.600479	
1881	-51.42	-0.356	0.903897	0.094329	
1880	-49.18	1.862	0.774551	0.590784	
1879	-50.68	0.332	-0.61848	-0.74729	
1878	-52.28	-1.299	-1.0673	-0.38262	
1877	-52.97	-2.014	0.195748	-1.40394	
1876	-51.85	-0.915	1.188064	-1.39924	
1875	-52.75	-1.833	0.287957	-0.88281	
1874	-54.65	-3.749	-1.11068	-1.17408	
1873	-47.57	3.316	-0.75417	0.372177	
1872	-50.48	0.391	0.831565	-0.10171	
1871	-48.65	2.204	1.108708	0.860267	
1870	-50.35	0.483	-0.40175	0.871708	
1869	-52.97	-2.162	-1.29067	0.731287	
1868	-49.92	0.858	-0.11099	1.692459	
1867	-48.09	2.651	1.257878	0.950216	
1866	-47.87	2.832	0.607677	1.745551	
1865	-49.98	0.684	-1.02529	0.877346	
1864	-49.87	0.758	-1.00896	0.236498	
1863	-52.48	-1.888	0.632006	-0.14862	
1862	-51.5	-0.945	1.243597	-1.61301	
1861	-53.78	-3.263	-0.15937	-1.20093	
1860	-51.53	-1.053	-1.29083	-1.96396	
